what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625757559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625761059
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444625761979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625763069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625773863
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444625773873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625775123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625775893
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444625779023
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444625779664
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444625780584
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444625782404
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444625802505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625820880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625821810
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444625824970
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444625825640
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444625826510
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444625826700
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444625843588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1444625847208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1444625847358
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444625848108
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444625848968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625855968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625856728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625857988
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444625859718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625860428
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444625860428
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444625861308
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444625863138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625970777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444625992477
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444625996817
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444625997708
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444625999482
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444626051939
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444626057532
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444626058182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444626069800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444626163870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444626182050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444626184130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444626185470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444626190680
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444626191790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444626192540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444626206224
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444626206234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444626209204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444626210284
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444626213294
